C542537,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",-3,1/28/2011 13:54,4.95,12501,Germany
C542539,22567,20 DOLLY PEGS RETROSPOT,-12,1/28/2011 14:07,1.25,14229,United Kingdom
C542539,22423,REGENCY CAKESTAND 3 TIER,-7,1/28/2011 14:07,10.95,14229,United Kingdom
C542540,POST,POSTAGE,-1,1/28/2011 14:20,4.41,,United Kingdom
C542540,DOT,DOTCOM POSTAGE,-1,1/28/2011 14:20,3.29,,United Kingdom
C542540,21658,GLASS  BEURRE DISH,-1,1/28/2011 14:20,8.29,,United Kingdom
542541,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,1,1/28/2011 14:25,2.08,,United Kingdom
542541,84970S,HANGING HEART ZINC T-LIGHT HOLDER,8,1/28/2011 14:25,2.08,,United Kingdom
542541,84987,SET OF 36 TEATIME PAPER DOILIES,1,1/28/2011 14:25,2.92,,United Kingdom
542541,84988,SET OF 72 PINK HEART PAPER DOILIES,2,1/28/2011 14:25,2.92,,United Kingdom
542541,84991,60 TEATIME FAIRY CAKE CASES,1,1/28/2011 14:25,1.25,,United Kingdom
542541,84992,72 SWEETHEART FAIRY CAKE CASES,1,1/28/2011 14:25,1.25,,United Kingdom
542541,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,2,1/28/2011 14:25,7.46,,United Kingdom
542541,85026B,EAU DE NILE JEWELLED T-LIGHT HOLDER,3,1/28/2011 14:25,1.63,,United Kingdom
542541,85034C,3 ROSE MORRIS BOXED CANDLES,1,1/28/2011 14:25,8.29,,United Kingdom
542541,85039A,SET/4 RED MINI ROSE CANDLE IN BOWL,1,1/28/2011 14:25,1.63,,United Kingdom
542541,85093,CANDY SPOT EGG WARMER HARE,1,1/28/2011 14:25,2.46,,United Kingdom
542541,85094,CANDY SPOT EGG WARMER RABBIT,1,1/28/2011 14:25,2.46,,United Kingdom
542541,15036,ASSORTED COLOURS SILK FAN,1,1/28/2011 14:25,1.25,,United Kingdom
542541,15060B,FAIRY CAKE DESIGN UMBRELLA,1,1/28/2011 14:25,8.29,,United Kingdom
542541,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,1/28/2011 14:25,2.46,,United Kingdom
542541,20685,DOORMAT RED RETROSPOT,1,1/28/2011 14:25,7.46,,United Kingdom
542541,20719,WOODLAND CHARLOTTE BAG,2,1/28/2011 14:25,1.63,,United Kingdom
542541,20724,RED RETROSPOT CHARLOTTE BAG,3,1/28/2011 14:25,1.63,,United Kingdom
542541,20733,GOLD MINI TAPE MEASURE ,1,1/28/2011 14:25,0.83,,United Kingdom
542541,20754,RETROSPOT RED WASHING UP GLOVES,1,1/28/2011 14:25,4.13,,United Kingdom
